"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-01","0.00","0.0","0.0","81","56","81"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-02","0.52","0.0","0.0","81","62","73"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-03","0.00","0.0","0.0","85","55","85"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-04","0.00","0.0","0.0","90","65","89"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-05","0.00","0.0","0.0","90","67","83"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-06","0.00","0.0","0.0","83","53","75"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-07","0.00","0.0","0.0","77","53","73"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-08","0.00","0.0","0.0","78","48","76"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-09","0.00","0.0","0.0","81","54","80"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-10","0.00","0.0","0.0","86","59","83"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-11","0.70","0.0","0.0","90","66","71"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-12","0.64","0.0","0.0","85","68","84"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-13","1.34","0.0","0.0","85","66","80"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-14","2.08","0.0","0.0","80","61","63"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-15","0.00","0.0","0.0","80","55","79"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-16","0.00","0.0","0.0","86","62","84"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-17","0.00","0.0","0.0","84","55","60"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-18","0.00","0.0","0.0","78","44","75"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-19","0.00","0.0","0.0","85","60","83"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-20","0.00","0.0","0.0","85","61","80"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-21","0.25","0.0","0.0","83","60","80"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-22","0.00","0.0","0.0","92","70","92"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-23","4.85","0.0","0.0","92","63","74"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-24","0.30","0.0","0.0","80","63","71"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-25","0.00","0.0","0.0","78","54","76"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-26","0.00","0.0","0.0","82","56","80"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-27","0.08","0.0","0.0","84","63","76"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-28","0.25","0.0","0.0","83","65","73"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-29","0.00","0.0","0.0","80","68","76"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.1742","-86.5214","253.0","1960-06-30","0.00","0.0","0.0","83","71","83"
